rep,n,p,t
0,12000,1,0.287125
1,12000,1,0.652148
2,12000,1,0.341413
3,12000,1,0.284788
4,12000,1,0.284664
5,12000,1,0.284690
6,12000,1,0.284725
7,12000,1,0.284697
8,12000,1,0.284708
9,12000,1,0.286808
10,12000,1,0.538222
11,12000,1,0.455192
12,12000,1,0.286843
13,12000,1,0.380685
14,12000,1,0.425732
15,12000,1,0.441768
16,12000,1,0.314711
17,12000,1,0.286903
18,12000,1,0.378988
19,12000,1,0.384571
