rep,n,p,t
0,1200,8,0.000522
1,1200,8,0.000369
2,1200,8,0.000362
3,1200,8,0.000368
4,1200,8,0.000359
5,1200,8,0.000364
6,1200,8,0.000358
7,1200,8,0.000362
8,1200,8,0.000365
9,1200,8,0.000362
10,1200,8,0.000358
11,1200,8,0.000362
12,1200,8,0.000358
13,1200,8,0.000361
14,1200,8,0.000358
15,1200,8,0.000358
16,1200,8,0.000360
17,1200,8,0.000358
18,1200,8,0.000384
19,1200,8,0.000361
