rep,n,p,t
0,12000,256,0.016088
1,12000,256,0.002410
2,12000,256,0.002439
3,12000,256,0.002376
4,12000,256,0.002361
5,12000,256,0.002355
6,12000,256,0.002790
7,12000,256,0.002370
8,12000,256,0.002336
9,12000,256,0.002393
10,12000,256,0.002356
11,12000,256,0.002368
12,12000,256,0.002390
13,12000,256,0.002356
14,12000,256,0.002374
15,12000,256,0.002367
16,12000,256,0.002595
17,12000,256,0.002340
18,12000,256,0.002342
19,12000,256,0.002363
