rep,n,p,t
0,600,256,0.037104
1,600,256,0.000161
2,600,256,0.000109
3,600,256,0.000122
4,600,256,0.000115
5,600,256,0.000115
6,600,256,0.000107
7,600,256,0.000115
8,600,256,0.000106
9,600,256,0.000105
10,600,256,0.000099
11,600,256,0.000105
12,600,256,0.000099
13,600,256,0.000104
14,600,256,0.000114
15,600,256,0.000105
16,600,256,0.000129
17,600,256,0.000106
18,600,256,0.000114
19,600,256,0.000103
