rep,n,p,t
0,12000,1,3.051880
1,12000,1,3.117756
2,12000,1,3.089503
3,12000,1,3.035193
4,12000,1,2.939169
5,12000,1,2.868769
6,12000,1,2.772669
7,12000,1,2.806320
8,12000,1,2.715828
9,12000,1,2.686515
10,12000,1,2.738020
11,12000,1,2.647077
12,12000,1,2.617519
13,12000,1,2.649463
14,12000,1,2.644784
15,12000,1,2.595502
16,12000,1,2.543249
17,12000,1,2.571130
18,12000,1,2.585624
19,12000,1,2.590935
