rep,n,p,t
0,1200,256,0.013419
1,1200,256,0.000120
2,1200,256,0.000090
3,1200,256,0.000086
4,1200,256,0.000088
5,1200,256,0.000085
6,1200,256,0.000093
7,1200,256,0.000085
8,1200,256,0.000086
9,1200,256,0.000087
10,1200,256,0.000094
11,1200,256,0.000087
12,1200,256,0.000088
13,1200,256,0.000090
14,1200,256,0.000086
15,1200,256,0.000089
16,1200,256,0.000089
17,1200,256,0.000097
18,1200,256,0.000084
19,1200,256,0.000102
