rep,n,p,t
0,300,1,0.000130
1,300,1,0.000125
2,300,1,0.000122
3,300,1,0.000121
4,300,1,0.000121
5,300,1,0.000121
6,300,1,0.000121
7,300,1,0.000129
8,300,1,0.000123
9,300,1,0.000121
10,300,1,0.000121
11,300,1,0.000121
12,300,1,0.000121
13,300,1,0.000121
14,300,1,0.000121
15,300,1,0.000121
16,300,1,0.000121
17,300,1,0.000120
18,300,1,0.000121
19,300,1,0.000120
