rep,n,p,t
0,600,1,0.000627
1,600,1,0.000636
2,600,1,0.000613
3,600,1,0.000613
4,600,1,0.000613
5,600,1,0.000613
6,600,1,0.000613
7,600,1,0.000621
8,600,1,0.000613
9,600,1,0.000613
10,600,1,0.000613
11,600,1,0.000613
12,600,1,0.000613
13,600,1,0.000613
14,600,1,0.000618
15,600,1,0.000613
16,600,1,0.000613
17,600,1,0.000613
18,600,1,0.000613
19,600,1,0.000613
