rep,n,p,t
0,1200,1,0.003736
1,1200,1,0.003573
2,1200,1,0.003276
3,1200,1,0.003222
4,1200,1,0.003220
5,1200,1,0.003217
6,1200,1,0.003216
7,1200,1,0.003210
8,1200,1,0.003207
9,1200,1,0.003226
10,1200,1,0.003223
11,1200,1,0.003214
12,1200,1,0.003214
13,1200,1,0.003214
14,1200,1,0.003216
15,1200,1,0.003216
16,1200,1,0.003219
17,1200,1,0.003214
18,1200,1,0.003205
19,1200,1,0.003219
