p,n,m,time
8,100000000,200000000,3.939701
8,100000000,200000000,3.868669
8,100000000,200000000,3.885727
8,100000000,200000000,3.894662
8,100000000,200000000,3.882429
8,100000000,200000000,3.871206
8,100000000,200000000,3.869407
8,100000000,200000000,3.890915
8,100000000,200000000,3.874676
8,100000000,200000000,3.864792
