p,n,m,time
16,100000000,200000000,1.995200
16,100000000,200000000,1.993323
16,100000000,200000000,1.939563
16,100000000,200000000,1.937254
16,100000000,200000000,1.937232
16,100000000,200000000,1.937999
16,100000000,200000000,1.937578
16,100000000,200000000,1.937261
16,100000000,200000000,1.937001
16,100000000,200000000,1.937466
