p,n,m,time
32,10000000,20000000,0.092831
32,10000000,20000000,0.091464
32,10000000,20000000,0.091480
32,10000000,20000000,0.091369
32,10000000,20000000,0.091399
32,10000000,20000000,0.091454
32,10000000,20000000,0.091401
32,10000000,20000000,0.091468
32,10000000,20000000,0.091381
32,10000000,20000000,0.091607
