p,n,m,time
16,10000000,20000000,0.013626
16,10000000,20000000,0.009513
16,10000000,20000000,0.009071
16,10000000,20000000,0.008424
16,10000000,20000000,0.009538
16,10000000,20000000,0.008140
16,10000000,20000000,0.008662
16,10000000,20000000,0.009220
16,10000000,20000000,0.009091
16,10000000,20000000,0.009483
