p,n,m,time
8,10000000,20000000,0.019604
8,10000000,20000000,0.013569
8,10000000,20000000,0.013867
8,10000000,20000000,0.013655
8,10000000,20000000,0.011404
8,10000000,20000000,0.011344
8,10000000,20000000,0.011634
8,10000000,20000000,0.012665
8,10000000,20000000,0.013193
8,10000000,20000000,0.011820
