p,n,m,time
11,10000000,20000000,0.018538
11,10000000,20000000,0.011153
11,10000000,20000000,0.010748
11,10000000,20000000,0.011297
11,10000000,20000000,0.011276
11,10000000,20000000,0.011657
11,10000000,20000000,0.011946
11,10000000,20000000,0.011389
11,10000000,20000000,0.009861
11,10000000,20000000,0.011136
