p,n,m,time
2,100000000,200000000,1.112593
2,100000000,200000000,0.847990
2,100000000,200000000,1.021552
2,100000000,200000000,0.730425
2,100000000,200000000,0.648223
2,100000000,200000000,0.649620
2,100000000,200000000,0.650072
2,100000000,200000000,0.649791
2,100000000,200000000,0.647977
2,100000000,200000000,0.649866
