p,n,m,time
2,10000000,20000000,0.045601
2,10000000,20000000,0.024481
2,10000000,20000000,0.024503
2,10000000,20000000,0.029197
2,10000000,20000000,0.030637
2,10000000,20000000,0.030691
2,10000000,20000000,0.030689
2,10000000,20000000,0.030672
2,10000000,20000000,0.030637
2,10000000,20000000,0.030604
