rep,n,p,t
0,12000,8,0.036218
1,12000,8,0.035760
2,12000,8,0.035540
3,12000,8,0.035473
4,12000,8,0.035515
5,12000,8,0.035540
6,12000,8,0.035465
7,12000,8,0.035525
8,12000,8,0.035507
9,12000,8,0.035501
10,12000,8,0.035505
11,12000,8,0.035490
12,12000,8,0.035492
13,12000,8,0.035500
14,12000,8,0.035502
15,12000,8,0.035494
16,12000,8,0.035512
17,12000,8,0.035500
18,12000,8,0.035498
19,12000,8,0.035511
