rep,n,p,t
0,1200,128,0.004136
1,1200,128,0.000145
2,1200,128,0.000143
3,1200,128,0.000135
4,1200,128,0.000143
5,1200,128,0.000134
6,1200,128,0.000140
7,1200,128,0.000116
8,1200,128,0.000116
9,1200,128,0.000109
10,1200,128,0.000102
11,1200,128,0.000101
12,1200,128,0.000100
13,1200,128,0.000100
14,1200,128,0.000101
15,1200,128,0.000099
16,1200,128,0.000096
17,1200,128,0.000100
18,1200,128,0.000100
19,1200,128,0.000099
