rep,n,p,t
0,600,256,0.011425
1,600,256,0.000112
2,600,256,0.000098
3,600,256,0.000094
4,600,256,0.000112
5,600,256,0.000092
6,600,256,0.000095
7,600,256,0.000094
8,600,256,0.000108
9,600,256,0.000094
10,600,256,0.000098
11,600,256,0.000090
12,600,256,0.000090
13,600,256,0.000087
14,600,256,0.000080
15,600,256,0.000074
16,600,256,0.000078
17,600,256,0.000071
18,600,256,0.000074
19,600,256,0.000071
