rep,n,p,t
0,1200,1,0.002789
1,1200,1,0.002734
2,1200,1,0.002732
3,1200,1,0.002745
4,1200,1,0.002722
5,1200,1,0.002728
6,1200,1,0.002728
7,1200,1,0.002723
8,1200,1,0.002727
9,1200,1,0.002728
10,1200,1,0.002722
11,1200,1,0.002730
12,1200,1,0.002741
13,1200,1,0.002727
14,1200,1,0.002722
15,1200,1,0.002728
16,1200,1,0.002727
17,1200,1,0.002723
18,1200,1,0.002728
19,1200,1,0.002728
