rep,n,p,t
0,1200,256,0.006296
1,1200,256,0.000172
2,1200,256,0.000160
3,1200,256,0.000174
4,1200,256,0.000158
5,1200,256,0.000168
6,1200,256,0.000146
7,1200,256,0.000130
8,1200,256,0.000118
9,1200,256,0.000116
10,1200,256,0.000113
11,1200,256,0.000112
12,1200,256,0.000114
13,1200,256,0.000106
14,1200,256,0.000106
15,1200,256,0.000098
16,1200,256,0.000103
17,1200,256,0.000102
18,1200,256,0.000099
19,1200,256,0.000098
