rep,n,p,t
0,12000,256,0.099482
1,12000,256,0.002153
2,12000,256,0.002021
3,12000,256,0.001987
4,12000,256,0.002247
5,12000,256,0.002035
6,12000,256,0.002026
7,12000,256,0.002004
8,12000,256,0.002036
9,12000,256,0.002010
10,12000,256,0.002216
11,12000,256,0.001991
12,12000,256,0.001973
13,12000,256,0.001992
14,12000,256,0.001972
15,12000,256,0.001971
16,12000,256,0.002002
17,12000,256,0.001956
18,12000,256,0.001992
19,12000,256,0.001994
