p,n,m,time
32,100000000,200000000,0.093548
32,100000000,200000000,0.059075
32,100000000,200000000,0.060433
32,100000000,200000000,0.061212
32,100000000,200000000,0.061202
32,100000000,200000000,0.061004
32,100000000,200000000,0.060843
32,100000000,200000000,0.060950
32,100000000,200000000,0.060922
32,100000000,200000000,0.060991
