p,n,m,time
8,10000000,20000000,0.023847
8,10000000,20000000,0.014216
8,10000000,20000000,0.014127
8,10000000,20000000,0.014162
8,10000000,20000000,0.014161
8,10000000,20000000,0.014147
8,10000000,20000000,0.014158
8,10000000,20000000,0.014149
8,10000000,20000000,0.014289
8,10000000,20000000,0.014539
