p,n,m,time
11,100000000,200000000,0.177966
11,100000000,200000000,0.111215
11,100000000,200000000,0.127093
11,100000000,200000000,0.134315
11,100000000,200000000,0.135198
11,100000000,200000000,0.138132
11,100000000,200000000,0.136646
11,100000000,200000000,0.143669
11,100000000,200000000,0.205844
11,100000000,200000000,0.113868
