p,n,m,time
1,10000000,20000000,0.094295
1,10000000,20000000,0.052672
1,10000000,20000000,0.052611
1,10000000,20000000,0.052668
1,10000000,20000000,0.052580
1,10000000,20000000,0.052591
1,10000000,20000000,0.052607
1,10000000,20000000,0.052607
1,10000000,20000000,0.052670
1,10000000,20000000,0.052582
